Conv_set, Dense_set, test_loss, test_acc
0, 0, 1.196911, 84.0870
0, 0, 1.193669, 84.5217
0, 0, 0.970900, 87.1304
0, 0, 0.877909, 85.8261
0, 1, 0.670526, 89.3913
0, 1, 0.879680, 86.1739
0, 1, 0.976259, 88.1739
0, 1, 0.949206, 87.1304
1, 0, 1.002193, 86.7826
1, 0, 1.073597, 86.9565
1, 0, 1.240221, 84.5217
1, 0, 0.923562, 86.6087
1, 1, 0.964072, 86.9565
1, 1, 0.637733, 88.6957
1, 1, 0.630430, 87.6522
1, 1, 0.765979, 87.3043
2, 0, 1.019239, 85.6522
2, 0, 0.640257, 84.8696
2, 0, 0.645451, 87.6522
2, 0, 0.715194, 83.3913
2, 1, 0.522974, 88.7826
2, 1, 0.388033, 89.1304
2, 1, 0.628004, 88.0870
2, 1, 0.506277, 88.0870
3, 0, 0.351416, 90.8696
3, 0, 0.301371, 93.3043
3, 0, 0.414343, 91.3913
3, 0, 0.383850, 90.7826
3, 1, 0.269829, 92.8696
3, 1, 0.297652, 92.6957
3, 1, 0.521435, 92.7826
3, 1, 0.495466, 90.6957
4, 0, 0.201512, 94.0000
4, 0, 0.334610, 85.4783
4, 0, 0.443173, 80.3478
4, 0, 0.394740, 84.7826
4, 1, 0.484961, 81.2174
4, 1, 0.257038, 88.4348
4, 1, 0.296506, 87.6522
4, 1, 0.510213, 81.4783
5, 0, 0.358881, 87.1304
5, 0, 0.781966, 70.8696
5, 0, 0.902310, 68.3478
5, 0, 0.186625, 93.9130
5, 1, 0.576252, 72.1739
5, 1, 0.831268, 70.2609
5, 1, 0.659446, 72.3478
5, 1, 0.932953, 60.5217